2026-05-22 18:00:06 | INFO     | agents.agent_manager | AgentManager initialised
2026-05-22 18:00:06 | INFO     | agents.vision_agent | VisionAgent initialised
2026-05-22 18:00:06 | INFO     | agents.agent_manager | Created agent: vision
2026-05-22 18:00:18 | INFO     | agents.vision_agent | VisionAgent: multimodal response generated
2026-05-22 18:00:18 | WARNING  | tools.report_tool | LaTeX→image failed: No module named 'matplotlib'
2026-05-22 18:00:18 | WARNING  | tools.report_tool | LaTeX→image failed: No module named 'matplotlib'
2026-05-22 18:00:18 | WARNING  | tools.report_tool | LaTeX→image failed: No module named 'matplotlib'
2026-05-22 18:00:18 | WARNING  | tools.report_tool | LaTeX→image failed: No module named 'matplotlib'
2026-05-22 18:00:18 | WARNING  | tools.report_tool | LaTeX→image failed: No module named 'matplotlib'
2026-05-22 18:00:18 | WARNING  | tools.report_tool | LaTeX→image failed: No module named 'matplotlib'
2026-05-22 18:00:18 | WARNING  | tools.report_tool | LaTeX→image failed: No module named 'matplotlib'
2026-05-22 18:00:18 | INFO     | tools.report_tool | PDF generado: 3524 bytes
2026-05-22 18:00:19 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 18:00:19 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 18:00:22 | INFO     | vision.image_captioning | LLM caption generated (670 chars)
2026-05-22 18:00:56 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 18:00:56 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 18:01:00 | INFO     | vision.image_captioning | LLM caption generated (586 chars)
2026-05-22 18:03:40 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 18:03:40 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 18:03:42 | INFO     | vision.image_captioning | LLM caption generated (649 chars)
2026-05-22 18:04:42 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 18:04:42 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 18:04:45 | INFO     | vision.image_captioning | LLM caption generated (589 chars)
2026-05-22 18:04:45 | ERROR    | app.controllers | Chat error: "Input to ChatPromptTemplate is missing variables {'n\\\\sum x_i^2 - (\\\\sum x_i)^2', 'n\\\\sum x_i y_i - \\\\sum x_i \\\\sum y_i'}.  Expected: ['chat_history', 'date', 'input', 'n\\\\sum x_i y_i - \\\\sum x_i \\\\sum y_i', 'n\\\\sum x_i^2 - (\\\\sum x_i)^2'] Received: ['input', 'chat_history', 'date']\nNote: if you intended {n\\sum x_i^2 - (\\sum x_i)^2} to be part of the string and not a variable, please escape it with double curly braces like: '{{n\\sum x_i^2 - (\\sum x_i)^2}}'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT "
2026-05-22 18:04:45 | INFO     | tools.report_tool | PDF generado: 2283 bytes
2026-05-22 18:04:46 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 18:04:46 | ERROR    | vision.ocr_engine | OCR error: tesseract is not installed or it's not in your PATH. See README file for more information.
2026-05-22 18:04:51 | INFO     | vision.image_captioning | LLM caption generated (574 chars)
2026-05-22 18:11:12 | INFO     | llm.openrouter_client | Initialising OpenRouterClient singleton
2026-05-22 18:11:14 | INFO     | database.sqlite_manager | SQLiteManager ready: ./campusmind_data/history.db
2026-05-22 18:11:14 | INFO     | memory.memory_manager | MemoryManager created: session=d702a8ca-5c4f-40a7-aa09-23d272f7c54b
2026-05-22 18:11:14 | INFO     | vectorstore.chroma_manager | ChromaManager ready: collection=campusmind
2026-05-22 18:11:16 | INFO     | app.controllers | ChatController initialised: model=meta-llama/llama-3.1-8b-instruct:free temp=0.70
2026-05-22 18:11:27 | INFO     | app.controllers | Model updated: openai/gpt-4o-mini @ 0.70
2026-05-22 18:12:30 | INFO     | tools.report_tool | PDF generado: 43059 bytes
2026-05-22 18:18:08 | INFO     | llm.openrouter_client | Initialising OpenRouterClient singleton
2026-05-22 18:18:12 | INFO     | database.sqlite_manager | SQLiteManager ready: ./campusmind_data/history.db
2026-05-22 18:18:12 | INFO     | memory.memory_manager | MemoryManager created: session=9f5adcf4-04c2-4ae1-b175-a1c0620c98b5
2026-05-22 18:18:12 | INFO     | vectorstore.chroma_manager | ChromaManager ready: collection=campusmind
2026-05-22 18:18:16 | INFO     | app.controllers | ChatController initialised: model=meta-llama/llama-3.1-8b-instruct:free temp=0.70
2026-05-22 18:18:27 | INFO     | app.controllers | Model updated: openai/gpt-4o-mini @ 0.70
2026-05-22 18:22:05 | INFO     | agents.agent_manager | AgentManager initialised
2026-05-22 18:22:05 | INFO     | agents.academic_agent | AcademicAgent initialised
2026-05-22 18:22:05 | INFO     | agents.agent_manager | Created agent: academic
2026-05-22 18:23:55 | INFO     | rag.document_loader | Loading document: Riego y Fertilización Inteligente Ante proyecto.docx (type=docx)
2026-05-22 18:23:55 | INFO     | rag.document_loader | Loaded 1 chunks from Riego y Fertilización Inteligente Ante proyecto.docx
2026-05-22 18:23:55 | INFO     | rag.splitter | Split 1 docs → 15 chunks
2026-05-22 18:23:56 | INFO     | rag.document_loader | Loading document: Riego y Fertilización Inteligente Ante proyecto.docx (type=docx)
2026-05-22 18:23:56 | INFO     | rag.document_loader | Loaded 1 chunks from Riego y Fertilización Inteligente Ante proyecto.docx
2026-05-22 18:23:56 | INFO     | rag.splitter | Split 1 docs → 15 chunks
2026-05-22 18:23:58 | INFO     | embeddings.embedding_manager | Using ChromaDB default embeddings (fallback)
2026-05-22 18:23:58 | INFO     | embeddings.embedding_manager | Using ChromaDB default embeddings (fallback)
2026-05-22 18:24:00 | INFO     | vectorstore.chroma_manager | ChromaDB store created/loaded from campusmind_data\chroma
2026-05-22 18:24:04 | INFO     | vectorstore.chroma_manager | Added 15 documents to ChromaDB
2026-05-22 18:24:04 | INFO     | rag.rag_pipeline | Ingested 'Riego y Fertilización Inteligente Ante proyecto.docx' → 15 chunks
